latitude,longitude,distances,ind,fotograma,section,classes,ind2,scores,boxes,class_id,area,center,height,width,total_area,fail_id_section,class_id_readable
,,,61,93,,Grieta Vertical,67,0.5357106924057007,"[0.1369955688714981, 0.6515914797782898, 0.28759828209877014, 0.9015370607376099]",D00,8672.828002937946,"(497.0011329650879, 76.42689317464828)",89.98040914535522,96.3857364654541,230400,193,Grieta Vertical
,,,62,94,,Grieta Vertical,69,0.2492622286081314,"[0.503350555896759, 0.7863990068435669, 0.5693936347961426, 0.9216481447219849]",D00,2057.9948891085223,"(546.5750885009766, 193.0939543247223)",48.68968963623047,42.26757049560547,230400,193,Grieta Vertical
,,,62,94,,Piel de cocodrilo,68,0.2720669209957123,"[0.3298410475254059, 0.7791882157325745, 0.5708521604537964, 0.9305016398429871]",D20,8402.277138245245,"(547.1007537841797, 162.1247774362564)",54.472832679748535,154.24711227416992,230400,7,Piel de cocodrilo
,,,63,95,,Grieta Vertical,70,0.2491346299648285,"[0.5098103284835815, 0.8015270829200745, 0.5966780781745911, 0.904512345790863]",D00,2061.180987706939,"(545.9326171875, 199.16791319847107)",37.07469463348389,55.595359802246094,230400,193,Grieta Vertical
,,,64,96,,Desenfoque de linea blanca,71,0.33725467324256897,"[0.4950988292694092, 0.7430408000946045, 0.575468897819519, 0.9320127964019775]",D44,3499.244305292086,"(536.0171508789062, 192.70219087600708)",68.0299186706543,51.43684387207031,230400,48,Desenfoque de linea blanca
,,,65,97,,Grieta Vertical,72,0.4653049409389496,"[0.5044285655021667, 0.715427815914154, 0.5885502099990845, 0.9215218424797058]",D00,3994.4375275819766,"(523.8238906860352, 196.73617959022522)",74.19384956359863,53.837852478027344,230400,194,Grieta Vertical
,,,66,99,,Grieta e Intervalo Lineal Transversal,74,0.3463803827762604,"[0.19842194020748138, 0.8565672039985657, 0.47393837571144104, 0.9241722822189331]",D10,4291.501863914959,"(569.8366355895996, 121.02485686540604)",24.337828159332275,176.33051872253418,230400,346,Grieta e Intervalo Lineal Transversal
,,,66,99,,Desenfoque de linea blanca,73,0.3579236567020416,"[0.4912019670009613, 0.658606231212616, 0.5980962514877319, 0.8497222661972046]",D44,4706.890401859482,"(482.6651191711426, 196.07367932796478)",68.8017725944519,68.4123420715332,230400,49,Desenfoque de linea blanca
,,,67,100,,Grieta Vertical,75,0.36403754353523254,"[0.4827473759651184, 0.6617465615272522, 0.6225228309631348, 0.9132447838783264]",D00,8099.315357256273,"(503.99723052978516, 198.94863724708557)",90.53936004638672,89.45629119873047,230400,195,Grieta Vertical
,,,68,101,,Grieta Vertical,77,0.21818412840366364,"[0.4581790864467621, 0.6090665459632874, 0.49420928955078125, 0.6750727891921997]",D00,547.9415077641988,"(410.92458724975586, 171.4299076795578)",23.762247562408447,23.059329986572266,230400,195,Grieta Vertical
,,,68,101,,Desenfoque de linea blanca,76,0.6267005205154419,"[0.5252270698547363, 0.738464891910553, 0.6296921968460083, 0.9251435995101929]",D44,4493.125992029854,"(532.3547172546387, 207.88546800613403)",67.20433473587036,66.85768127441406,230400,50,Desenfoque de linea blanca
,,,69,102,,Grieta Vertical,78,0.6023781895637512,"[0.5297748446464539, 0.7423197627067566, 0.645220935344696, 0.9245669841766357]",D00,4847.553621346015,"(533.4037590026855, 211.49924039840698)",65.6089997291565,73.885498046875,230400,195,Grieta Vertical
,,,70,103,,Grieta Vertical,79,0.5351906418800354,"[0.4751742482185364, 0.6427868604660034, 0.6112615466117859, 0.9033535718917847]",D00,8169.942484027706,"(494.7649383544922, 195.558443069458)",93.80401611328125,87.09587097167969,230400,195,Grieta Vertical
,,,70,103,,Grieta e Intervalo Lineal Transversal,80,0.4107855558395386,"[0.2286311686038971, 0.7851150631904602, 0.4846572279930115, 0.8462404012680054]",D10,3605.6861422436214,"(522.033748626709, 128.39191138744354)",22.00512170791626,163.8566780090332,230400,347,Grieta e Intervalo Lineal Transversal
,,,70,103,,Grieta e Intervalo Lineal Transversal,81,0.29456833004951477,"[0.3686417043209076, 0.7036963701248169, 0.5068676471710205, 0.7443227171897888]",D10,1293.8377254017269,"(463.3661079406738, 157.59168326854706)",14.625484943389893,88.46460342407227,230400,347,Grieta e Intervalo Lineal Transversal
,,,71,104,,Desenfoque de linea blanca,82,0.42897719144821167,"[0.4973174035549164, 0.6726550459861755, 0.620174765586853, 0.8987703323364258]",D44,6400.49531813861,"(502.8561210632324, 201.1485904455185)",81.40150308609009,78.62871170043945,230400,51,Desenfoque de linea blanca
,,,72,105,,Grieta Vertical,83,0.3776918351650238,"[0.4926031231880188, 0.6641988158226013, 0.593090832233429, 0.8458412885665894]",D00,4205.453403199499,"(483.212833404541, 195.4249119758606)",65.3912901878357,64.3121337890625,230400,196,Grieta Vertical
